,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
169,delta_alpha_group_entity,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",-0.2,-0.044,-0.353,0.269,114
170,delta_alpha_group_entity,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",-0.2,-0.199,-0.454,0.059,114
171,delta_alpha_group_entity,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.2,0.191,-0.055,0.44,114
172,delta_alpha_group_entity,1,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,0.013,-0.121,0.154,114
173,delta_alpha_group_entity,1,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.134,-0.279,0.023,114
174,delta_alpha_group_entity,1,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.061,-0.199,0.101,114
175,delta_alpha_group_entity,1,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.067,-0.218,0.079,114
176,delta_alpha_group_entity,2,alpha_group_mu,alpha_group_mu[NH],1.0,1.253,0.994,1.567,112
177,delta_alpha_group_entity,2,alpha_group_mu,alpha_group_mu[PH],1.0,0.764,0.471,1.058,112
178,delta_alpha_group_entity,2,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.095,0.013,0.158,112
179,delta_alpha_group_entity,2,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.095,0.036,0.159,112
180,delta_alpha_group_entity,2,beta_group_mu,beta_group_mu[NH],0.5,0.522,0.416,0.658,112
181,delta_alpha_group_entity,2,beta_group_mu,beta_group_mu[PH],0.5,0.599,0.413,0.765,112
182,delta_alpha_group_entity,2,beta_group_sigma,beta_group_sigma[NH],0.05,0.037,0.006,0.064,112
183,delta_alpha_group_entity,2,beta_group_sigma,beta_group_sigma[PH],0.05,0.054,0.012,0.091,112
184,delta_alpha_group_entity,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.5,0.108,-0.207,0.376,112
185,delta_alpha_group_entity,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,-0.038,-0.362,0.225,112
186,delta_alpha_group_entity,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,0.092,-0.211,0.359,112
187,delta_alpha_group_entity,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",-0.5,-0.254,-0.519,0.024,112
188,delta_alpha_group_entity,2,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,0.017,-0.108,0.14,112
189,delta_alpha_group_entity,2,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.13,-0.273,-0.012,112
190,delta_alpha_group_entity,2,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.015,-0.159,0.141,112
191,delta_alpha_group_entity,2,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.097,-0.237,0.075,112
192,sigma_0_group,0,alpha_group_mu,alpha_group_mu[NH],1.0,1.003,0.707,1.267,52
193,sigma_0_group,0,alpha_group_mu,alpha_group_mu[PH],1.0,1.001,0.749,1.307,52
194,sigma_0_group,0,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.087,0.017,0.141,52
195,sigma_0_group,0,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.074,0.014,0.135,52
196,sigma_0_group,0,beta_group_mu,beta_group_mu[NH],0.5,0.544,0.43,0.691,52
197,sigma_0_group,0,beta_group_mu,beta_group_mu[PH],0.5,0.566,0.444,0.684,52
198,sigma_0_group,0,beta_group_sigma,beta_group_sigma[NH],0.05,0.04,0.007,0.07,52
199,sigma_0_group,0,beta_group_sigma,beta_group_sigma[PH],0.05,0.066,0.033,0.095,52
200,sigma_0_group,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.065,-0.328,0.2,52
201,sigma_0_group,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.115,-0.163,0.38,52
202,sigma_0_group,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.026,-0.306,0.238,52
